date,ydd_hrel,mjd_hrel,3003430_hrf,3003420_hrf,8000701_hrf,3003452_hrf,3003431_hrf,3003450_hrf,3003454_hrf,8000735_hrf,3004620_hwl
2023-05-15 23:00:00,8.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-16 00:00:00,8.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-16 01:00:00,8.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-16 02:00:00,8.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-16 03:00:00,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
2023-05-16 04:00:00,8.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-16 05:00:00,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-16 06:00:00,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
2023-05-16 07:00:00,8.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-16 08:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-16 09:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-16 10:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-16 11:00:00,8.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-16 12:00:00,8.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-16 13:00:00,8.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-16 14:00:00,8.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-16 15:00:00,8.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-16 16:00:00,8.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-16 17:00:00,8.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-16 18:00:00,8.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
2023-05-16 19:00:00,8.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
2023-05-16 20:00:00,8.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-16 21:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-16 22:00:00,8.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-16 23:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-17 00:00:00,8.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-17 01:00:00,8.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-17 02:00:00,8.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-17 03:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
