date,3004630_hwl
2024-07-07 03:00:00,0.9783887932629733
2024-07-07 04:00:00,0.9830106049973475
2024-07-07 05:00:00,0.9880077436561816
2024-07-07 06:00:00,0.9928857659871957
2024-07-07 07:00:00,0.9975862033986616
2024-07-07 08:00:00,1.0021506514595764
2024-07-07 09:00:00,1.006545908910569
2024-07-07 10:00:00,1.0081361855481843
2024-07-07 11:00:00,1.0036055449170798
2024-07-07 12:00:00,0.9991722675353767
2024-07-07 13:00:00,0.9975157878781511
2024-07-07 14:00:00,1.0019929090306068
2024-07-07 15:00:00,1.007623557182729
2024-07-07 16:00:00,1.0113523724375861
2024-07-07 17:00:00,1.0151571278042981
2024-07-07 18:00:00,1.0190418209385461
2024-07-07 19:00:00,1.0229991701220165
2024-07-07 20:00:00,1.026984203646557
2024-07-07 21:00:00,1.0309518423814064
2024-07-07 22:00:00,1.0349431601286012
2024-07-07 23:00:00,1.038893488477238
2024-07-08 00:00:00,1.042808866112578
2024-07-08 01:00:00,1.0467226093896453
2024-07-08 02:00:00,1.0505695818418808
2024-07-08 03:00:00,1.0542951053610619
2024-07-08 04:00:00,1.058005911982745
2024-07-08 05:00:00,1.0615979245444365
2024-07-08 06:00:00,1.0651629279928887
2024-07-08 07:00:00,1.0661939548525368
2024-07-08 08:00:00,1.0651504823162767
2024-07-08 09:00:00,1.0716228940362402
2024-07-08 10:00:00,1.0716488289233848
2024-07-08 11:00:00,1.0651638334120257
2024-07-08 12:00:00,1.0668690138765609
2024-07-08 13:00:00,1.0604796705258952
2024-07-08 14:00:00,1.047413413499001
2024-07-08 15:00:00,1.0493170188693224
2024-07-08 16:00:00,1.0383949401466674
2024-07-08 17:00:00,1.0492124966703038
2024-07-08 18:00:00,1.0562097138758109
2024-07-08 19:00:00,1.0607435925312867
2024-07-08 20:00:00,1.0648833990169493
2024-07-08 21:00:00,1.0688684402145334
2024-07-08 22:00:00,1.0727200625311504
2024-07-08 23:00:00,1.072734932889519
2024-07-09 00:00:00,1.0643677551453852
2024-07-09 01:00:00,1.0936290447766375
2024-07-09 02:00:00,1.0921891060809816
2024-07-09 03:00:00,1.0939128706569559
2024-07-09 04:00:00,1.102901703042118
2024-07-09 05:00:00,1.1030689140068084
2024-07-09 06:00:00,1.1052014523040068
2024-07-09 07:00:00,1.096775207470749
2024-07-09 08:00:00,1.0986183032197623
2024-07-09 09:00:00,1.1029162664787453
2024-07-09 10:00:00,1.1062432060785152
2024-07-09 11:00:00,1.1079222214645998
2024-07-09 12:00:00,1.1133549971700702
2024-07-09 13:00:00,1.113486497790154
2024-07-09 14:00:00,1.1143396021163383
2024-07-09 15:00:00,1.1048820235016912
2024-07-09 16:00:00,1.1024402922422514
2024-07-09 17:00:00,1.094430325366794
2024-07-09 18:00:00,1.0993638468216886
2024-07-09 19:00:00,1.0868757229328985
2024-07-09 20:00:00,1.0956908989968017
2024-07-09 21:00:00,1.0904894195156167
2024-07-09 22:00:00,1.0746835943714714
2024-07-09 23:00:00,1.0896770590505973
2024-07-10 00:00:00,1.084095963413617
2024-07-10 01:00:00,1.088560830715549
2024-07-10 02:00:00,1.0770338782980744
