date,ydd_hrel,3003430_hrf,3004630_hwl,3002655_hwl_AR
2024-06-11 02:00:00,11.091,0.0,1.01,0.72
2024-06-11 03:00:00,11.086,0.0,1.01,0.72
2024-06-11 04:00:00,11.093,0.0,1.01,0.72
2024-06-11 05:00:00,11.093,0.0,1.01,0.72
2024-06-11 06:00:00,11.095,0.0,1.02,0.72
2024-06-11 07:00:00,11.091,0.0,1.01,0.72
2024-06-11 08:00:00,11.096,0.0,1.01,0.72
2024-06-11 09:00:00,11.093,0.0,1.01,0.72
2024-06-11 10:00:00,11.088,0.0,1.01,0.72
2024-06-11 11:00:00,11.09,0.0,1.01,0.72
2024-06-11 12:00:00,11.089,0.0,1.01,0.72
2024-06-11 13:00:00,11.094,0.0,1.01,0.72
2024-06-11 14:00:00,11.099,0.0,1.01,0.72
2024-06-11 15:00:00,11.087,0.0,1.01,0.73
2024-06-11 16:00:00,11.102,0.0,1.01,0.72
2024-06-11 17:00:00,11.099,0.0,1.01,0.73
2024-06-11 18:00:00,11.111,0.0,1.01,0.72
2024-06-11 19:00:00,11.107,0.0,1.01,0.72
2024-06-11 20:00:00,11.101,0.0,1.01,0.73
2024-06-11 21:00:00,11.111,0.0,1.01,0.72
2024-06-11 22:00:00,11.109,0.0,1.01,0.72
2024-06-11 23:00:00,11.112,0.0,1.01,0.72
2024-06-12 00:00:00,11.116,0.0,1.01,0.72
2024-06-12 01:00:00,11.109,0.0,1.01,0.72
2024-06-12 02:00:00,11.108,0.0,1.01,0.73
2024-06-12 03:00:00,11.117,0.0,1.01,0.72
2024-06-12 04:00:00,11.124,0.0,1.01,0.73
2024-06-12 05:00:00,11.123,0.0,1.01,0.72
2024-06-12 06:00:00,11.124,0.0,1.01,0.72
2024-06-12 07:00:00,11.127,0.0,1.01,0.72
2024-06-12 08:00:00,11.135,0.0,1.01,0.72
2024-06-12 09:00:00,11.118,0.0,1.02,0.72
2024-06-12 10:00:00,11.128,0.0,1.02,0.72
2024-06-12 11:00:00,11.122,0.0,1.01,0.72
2024-06-12 12:00:00,11.136,0.0,1.01,0.72
2024-06-12 13:00:00,11.131,0.0,1.02,0.73
2024-06-12 14:00:00,11.125,0.0,1.01,0.73
2024-06-12 15:00:00,11.138,0.0,1.01,0.73
2024-06-12 16:00:00,11.13,0.0,1.01,0.73
2024-06-12 17:00:00,11.135,0.0,1.02,0.73
2024-06-12 18:00:00,11.128,0.0,1.01,0.73
2024-06-12 19:00:00,11.147,0.0,1.02,0.72
2024-06-12 20:00:00,11.142,0.0,1.01,0.73
2024-06-12 21:00:00,11.146,0.0,1.02,0.72
